	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_202_set1__627	0.1828	0.0364	0.7027	-0.0510	0.7938	0.1310	0.0533	0.0655	0.1398	0.2338
VEN_202_set1__662	-0.0251	0.0980	0.1906	-0.1778	0.4814	-0.0454	-0.0916	0.1399	-0.1314	-0.0351
VEN_202_set1__678	0.3097	0.6612	-0.6621	0.0338	-0.7656	0.2176	0.3445	0.2365	0.4807	0.5191
VEN_202_set1__812	-0.4040	-0.2763	-0.1445	-0.3763	0.0812	-0.3625	-0.4641	-0.3592	-0.5383	-0.3868
VEN_202_set1__915	-0.6381	-0.4551	-0.4466	-0.2739	-0.1682	-0.4358	-0.5921	-0.1747	-0.6025	-0.4914
VEN_202_set2__172	0.0590	0.0162	0.6664	-0.2345	0.9263	-0.0243	0.0209	0.0700	-0.0621	-0.0076
VEN_202_set2__296	-0.0265	-0.1232	0.4181	-0.2462	0.6763	-0.0698	-0.0743	-0.1123	-0.0276	0.0391
VEN_202_set2__355	-0.3067	-0.1267	-0.7713	0.5310	-0.9129	-0.1846	-0.1317	-0.4939	-0.2517	-0.2412
VEN_202_set2__370	0.0363	0.2597	0.1287	-0.0956	0.1032	0.0100	0.1363	-0.1450	0.0979	0.0184
VEN_202_set2__372	-0.1913	-0.2523	0.4983	-0.3668	0.8179	-0.2142	-0.1874	-0.2315	-0.3056	-0.1783
VEN_202_set2__401	0.0141	-0.2370	-0.6377	-0.3141	-0.6780	-0.2855	-0.0508	-0.4622	0.0350	0.1231
VEN_202_set2__473	-0.0507	-0.1232	0.7955	-0.3028	1.0778	-0.1055	-0.0713	-0.1377	-0.1166	-0.0661
VEN_202_set2__481	0.0072	-0.0440	0.6181	-0.2234	0.8858	-0.0622	-0.0181	0.0524	-0.0854	-0.0257
VEN_202_set2__486	0.0584	-0.1202	-0.6055	0.5816	-0.8526	0.0298	0.2646	-0.0748	0.2630	0.2679
VEN_202_set2__619	-0.3941	-0.2242	-0.7738	0.9738	-0.8380	-0.4005	-0.0591	-0.5363	-0.3435	-0.3420
VEN_202_set2__710	-0.4104	-0.2720	0.6016	-0.5112	0.9508	-0.3471	-0.2918	-0.0088	-0.5819	-0.1952
VEN_202_set2__712	-0.2189	-0.2443	0.4987	-0.4056	0.7177	-0.2093	-0.1976	-0.2203	-0.2324	-0.1862
VEN_202_set2__752	-0.2118	-0.1760	0.3650	-0.3305	0.6886	-0.2712	-0.1597	-0.2500	-0.3097	-0.2581
VEN_202_set2__814	-0.0571	-0.1017	0.4904	-0.3253	0.7240	-0.0969	-0.0455	-0.0693	-0.1057	-0.0355
VEN_202_set2__845	-0.1154	-0.0534	-0.5896	0.2643	-0.9005	-0.0536	0.1160	-0.2086	-0.0218	0.0749
VEN_202_set2__848	0.0873	0.0115	-0.4670	0.2150	-0.6942	0.0711	0.2443	0.0178	0.1348	0.1146
VEN_202_set2__927	0.3102	0.1599	-0.5515	0.6563	-0.8422	0.2932	0.4866	-0.1759	0.5218	0.5541
VEN_202_set30__193	-0.2871	-0.5538	-0.6334	-0.4649	-0.9200	-0.4338	-0.2209	-0.4622	-0.2746	-0.1563
VEN_202_set30__216	0.1427	0.1835	0.4261	-0.0917	0.6523	0.0690	0.0949	0.2675	0.0733	0.1395
VEN_202_set30__228	0.1414	-0.0094	0.5805	-0.2305	0.7575	0.0560	0.0888	0.0744	0.0764	0.1570
