	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_076_set23__58	-0.0684	-0.1025	0.3689	-0.0675	0.4688	-0.0859	-0.1079	0.0409	-0.0705	0.0107
VEN_076_set23__74	-0.0250	-0.0907	-0.4046	0.3620	-0.7206	0.0002	0.0019	0.1093	0.1623	-0.0601
VEN_076_set23__87	0.3276	0.4114	-0.3377	0.9712	-0.4156	0.3595	0.0280	0.4329	0.4353	0.3395
VEN_076_set24__15	0.0760	-0.0130	-0.3677	0.4523	-0.5909	0.1058	0.1032	-0.0430	0.1617	0.0952
VEN_076_set24__168	0.3460	0.2427	-0.1683	0.6367	-0.3273	0.2988	0.2715	0.3646	0.3984	0.1310
VEN_076_set24__198	0.4749	0.2938	-0.2191	0.6802	-0.2814	0.4059	0.4325	0.4121	0.5082	0.4068
VEN_076_set24__264	0.3509	0.3925	0.7235	0.0326	0.8216	0.2869	0.2945	0.3895	0.2675	0.2851
VEN_076_set24__380	-0.9336	-0.7899	-0.6974	-0.8518	-0.3983	-1.0389	-0.8942	-1.0504	-0.8744	-0.7725
VEN_076_set24__422	-1.1435	-0.9350	-0.6920	-1.5875	-0.6270	-0.9763	-0.9760	-0.8277	-1.0298	-1.2184
VEN_076_set24__438	0.4509	0.2057	-0.2593	0.7444	-0.4453	0.3800	0.2636	0.4133	0.5580	0.2925
VEN_076_set24__464	0.0530	0.0950	0.3715	-0.1643	0.5692	0.0689	-0.0026	0.1495	0.0383	0.1835
VEN_076_set24__489	0.3726	0.4060	0.6576	-0.0366	0.7518	0.3982	0.3818	0.3638	0.3024	0.4718
VEN_076_set24__527	-0.4690	-0.2202	0.0687	-0.8635	0.0271	-0.3369	-0.3051	-0.6036	-0.5706	-0.6346
VEN_076_set24__604	0.0405	0.0186	0.3725	-0.2135	0.4554	0.0282	-0.0346	0.0758	-0.0370	0.1064
VEN_076_set24__637	0.3238	0.2992	0.7311	0.0543	0.7674	0.2803	0.2430	0.3732	0.2523	0.3513
VEN_076_set24__642	0.1452	0.2287	0.4397	-0.1661	0.5212	0.1861	0.1402	0.1657	0.0751	0.1431
VEN_076_set24__705	0.1392	0.2306	0.7011	0.1251	0.7396	0.1786	0.0719	0.2653	0.1249	0.2670
VEN_076_set24__782	0.4201	0.4329	0.7473	0.1317	0.8562	0.2720	0.3151	0.4323	0.3289	0.4231
VEN_076_set24__790	0.0999	0.0659	0.4415	-0.0806	0.5420	0.1352	0.0165	0.1106	0.0393	0.2103
VEN_076_set24__969	-0.2730	-0.3239	-0.5752	-0.2708	-0.9977	-0.1002	-0.1398	0.1066	-0.3435	-0.4817
VEN_076_set25__106	-0.0414	-0.1173	-0.4668	0.2257	-0.6341	-0.0401	-0.0989	-0.2102	-0.0015	-0.0983
VEN_076_set25__181	0.3087	0.2917	0.6601	0.1056	0.6832	0.2371	0.1830	0.4182	0.2363	0.3288
VEN_076_set25__185	-0.0483	0.0477	0.3922	-0.0112	0.3227	-0.0869	-0.2149	-0.0871	-0.1589	-0.0986
VEN_076_set25__361	0.2311	0.2509	0.6414	-0.0007	0.7101	0.1470	0.1369	0.2742	0.1675	0.2434
VEN_076_set25__378	0.5808	0.4461	0.8615	0.0459	0.9883	0.3834	0.5103	0.5337	0.4742	0.6064
VEN_076_set25__433	0.4641	0.4311	0.7734	0.0427	0.8372	0.3497	0.3985	0.4670	0.3405	0.4569
