gene	peak_celltype	lineage	source	peak_mean
PRRC2B	ncCM-AVC-like	ncCM	imputed	0.8033
PSEN1	WBC	Immune	imputed	0.3498
PSEN2	LEC	Endothelial	imputed	0.0565
PTEN	Pericyte	Mural	imputed	1.6010
PTPN11	vCM-RV-Compact	vCM	imputed	0.3608
PYGL	WBC	Immune	imputed	0.5054
RAB23	adFibro	Fibroblast	imputed	0.2489
RABGAP1L	aCM-RA	aCM	direct	0.8666
RAD21	vCM-RV-Proliferating	vCM	imputed	1.2384
RAF1	aCM-LA	aCM	imputed	0.6178
RBFOX2	adFibro	Fibroblast	imputed	1.6570
RBM20	vCM-LV-Hybrid	vCM	imputed	2.7464
RERE	BEC	Endothelial	imputed	1.8491
RIT1	vCM-RV-Compact	vCM	imputed	0.1960
RNF220	vCM-RV-Proliferating	vCM	imputed	0.2977
RPL3L	vCM-LV-Trabecular II	vCM	imputed	0.0526
RPL5	vCM-RV-Compact	vCM	imputed	2.5067
RRAGD	vCM-RV-Compact	vCM	imputed	0.3835
RYR3	aCM-LA	aCM	imputed	0.9973
SALL1	VEC	Endothelial	imputed	0.2325
SALL4	VEC	Endothelial	imputed	0.0694
SAMD11	Neuronal	Neural	imputed	0.1265
SCN10A	VIC	VIC	imputed	0.0007
SCN5A	vCM-LV/RV-Purkinje	vCM	direct	0.7717
SDHA	vCM-RV-Compact	vCM	imputed	0.8653
SETD5	aEndocardial	Endothelial	imputed	1.0754
SF3B4	vCM-LV-AV	vCM	imputed	0.0981
SGCD	adFibro	Fibroblast	imputed	1.7047
SHOC2	ncCM-AVC-like	ncCM	imputed	0.7335
SMAD2	aCM-LA	aCM	imputed	0.8390
SMAD3	Proliferating vFibro	Fibroblast	imputed	0.4858
SMAD4	vCM-LV-AV	vCM	imputed	0.3483
SMAD6	vCM-IVS-His	vCM	imputed	0.9755
SMARCA4	Neuronal	Neural	imputed	0.3580
SMARCB1	ncCM-AVC-like	ncCM	imputed	0.2055
SMARCE1	Pericyte	Mural	imputed	0.2191
SMC1A	vCM-RV-Trabecular	vCM	imputed	0.3955
SMC3	vCM-RV-Proliferating	vCM	imputed	0.7677
SMG9	vCM-IVS-His	vCM	imputed	0.0898
SON	vEndocardial	Endothelial	imputed	1.1557
SOS1	aEndocardial	Endothelial	imputed	0.9953
STRA6	adFibro	Fibroblast	imputed	0.0902
TAB2	WBC	Immune	imputed	0.9700
TBX1	LEC	Endothelial	imputed	0.1163
TBX20	Compact vFibro	Fibroblast	imputed	2.4321
TBX5	ncCM-AVC-like	ncCM	direct	1.6947
TCAP	vCM-RV-Compact	vCM	imputed	0.4794
TFAP2B	Neuronal	Neural	imputed	0.1789
TGFBR1	WBC	Immune	imputed	0.7693
TGFBR2	LEC	Endothelial	imputed	1.1273
THOC6	vCM-IVS-His	vCM	imputed	0.0641
THSD4	vCM-LV-Hybrid	vCM	imputed	1.8893
TLL1	aEndocardial	Endothelial	imputed	0.4555
TMEM260	VEC	Endothelial	imputed	0.3855
TMPO	vCM-LV-Trabecular I	vCM	imputed	0.7356
TNNC1	vCM-RV-Compact	vCM	imputed	2.8956
TNNI3	vCM-RV-Compact	vCM	imputed	1.3940
TNNT2	vCM-RV-Compact	vCM	imputed	3.0461
TPM1	vCM-RV-Compact	vCM	imputed	3.5927
TRAF7	ncCM-AVC-like	ncCM	imputed	0.0884
TSC1	Neuronal	Neural	imputed	0.2209
TTN	ncCM-AVC-like	ncCM	direct	2.1726
TXNL4A	vCM-LV-Trabecular I	vCM	imputed	0.2300
U2SURP	Pericyte	Mural	imputed	0.6810
UBR1	vCM-LV-Trabecular II	vCM	imputed	0.7482
VCL	Pericyte	Mural	imputed	0.9449
VEZF1	vCM-LV-Compact II	vCM	imputed	0.3559
WASHC5	WBC	Immune	imputed	0.3314
ZEB2	WBC	Immune	imputed	2.6964
ZFPM2	adFibro	Fibroblast	imputed	3.1875
